market,score,rsi_at_entry,macd_at_entry,sma_short,sma_long,volatility,volume_24h,dca_buys,invested_eur,hold_hours,max_profit_pct,regime_aggressive,regime_defensive,return_pct,label
XRP-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.3428,1
RENDER-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.2173,1
MOODENG-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.8097,1
MOODENG-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,10.118,1
MOODENG-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,2.6411,1
APT-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.9916,1
APT-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.5617,0
SUI-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.335,1
MOODENG-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,4.1051,1
CRV-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,2.9671,1
POL-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1.1028,1
GRT-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,2.7844,1
LINK-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.8959,1
WOO-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.9742,1
PEPE-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.9438,1
ALGO-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.8345,1
TIA-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.8762,1
FET-EUR,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.5725,0
